# cc_reference.draft.csv — BROUILLON généré le 2026-07-10 par `python -m trio_lab.ccref`.
# NE PAS FIGER SANS RELECTURE HUMAINE (CLAUDE.md règle 4) : durées/%slow extraits
# par heuristiques depuis la prose du wiki ; toute ligne avec `note_relecture`
# non vide demande une vérification. Après relecture : renommer en
# cc_reference.csv (fichier immuable, re-versionné à chaque rework).
#
# Source : League of Legends Wiki — « Types of Crowd Control/Sources » et pages de sorts,
# via l'API MediaWiki (https://wiki.leagueoflegends.com/en-us/api.php).
# Contenu dérivé sous licence CC BY-SA 4.0 ; attribution : League of Legends Wiki
# (https://wiki.leagueoflegends.com), communauté des contributeurs.
# League of Legends et Riot Games sont des marques de Riot Games, Inc.
#
# Colonnes : zone ∈ {mono, multi} (heuristique), fiabilite ∈ {point_click, skillshot},
# disponibilite ∈ {base, ultimate}, repositionnement ∈ {0, 1} (airborne déplaçant).
# Les coefficients (poids par type, coef_zone…) vivent dans la config, pas ici.
champion,sort,type_cc,duree_s,pct_slow,zone,fiabilite,disponibilite,repositionnement,note_relecture
Aatrox,Q,airborne,0.25,,multi,skillshot,base,0,
Aatrox,W,airborne,0.5,,mono,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier
Aatrox,W,slow,1.5,30.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Ahri,E,charm,1.5,,mono,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Ahri,E,slow,1.5,65.0,mono,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Akali,Q,slow,0.5,50.0,multi,skillshot,base,0,
Alistar,E,stun,1.0,,multi,point_click,base,0,
Alistar,Q,airborne,1.0,,multi,point_click,base,0,
Alistar,Q,stun,1.0,,multi,point_click,base,0,
Alistar,W,airborne,0.5,,mono,point_click,base,1,
Alistar,W,stun,0.75,,mono,point_click,base,0,
Ambessa,E,slow,1.0,99.0,multi,point_click,base,0,
Ambessa,R,stun,0.4,,mono,skillshot,ultimate,0,
Ambessa,R,suppression,0.75,,mono,skillshot,ultimate,0,
Amumu,Q,stun,1.0,,mono,skillshot,base,0,
Amumu,R,stun,1.5,,multi,point_click,ultimate,0,
Anivia,Q,slow,,30.0,multi,skillshot,base,0,"%slow variable ({{pp|changedisplay=true|key=%|20;20 to 40 for 3|0 to 3|type = [[File:Glacial Storm.png|20px|border|link=]] ''Glacial Storm's'' Rank|formula = 20% + (10% * (''Glacial Storm's'' rank - 1))}}), moyenne retenue"
Anivia,Q,stun,1.3,,multi,skillshot,base,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Anivia,R,slow,1.0,50.0,multi,skillshot,ultimate,0,
Anivia,W,airborne,0.25,,mono,skillshot,base,1,"durée extraite 5.0 s invraisemblable (> 4.0 s), écartée — à vérifier ; défaut appliqué : knock-up très court (mur/pilier) 0.25 s — à vérifier"
Annie,P,stun,1.5,,multi,skillshot,base,0,"durée variable ({{pp|1.25;1.5;1.75|1;6;11}}), moyenne retenue"
Aphelios,A,slow,2.5,30.0,mono,skillshot,base,0,
Aphelios,Q,root,1.0,,multi,point_click,base,0,
Ashe,P,slow,,25.0,mono,skillshot,base,0,"%slow variable ({{pplevel|key=%|20 to 30}}), moyenne retenue"
Ashe,R,stun,,,mono,skillshot,ultimate,0,durée introuvable
Aurelion Sol,E,slow,,,multi,skillshot,base,0,mot-clé slow introuvable dans la description ; %slow introuvable
Aurelion Sol,R,airborne,1.0,,multi,skillshot,ultimate,0,
Aurelion Sol,R,slow,1.0,50.0,multi,skillshot,ultimate,0,
Aurelion Sol,R,stun,1.0,,multi,skillshot,ultimate,0,
Aurora,E,slow,1.0,80.0,multi,skillshot,base,0,
Aurora,R,slow,2.0,30.0,multi,skillshot,ultimate,0,
Azir,Q,slow,1.0,25.0,multi,skillshot,base,0,
Azir,R,airborne,1.0,,mono,skillshot,ultimate,1,
Bard,P,slow,1.0,50.0,multi,skillshot,base,0,"%slow variable ({{pp|type = number of Chimes|key=%|25 to 75 for 6|5;25;45;60;75;85}}), moyenne retenue"
Bard,Q,slow,1.4,60.0,mono,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Bard,Q,stun,1.4,,mono,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Bard,R,stun,,,multi,skillshot,ultimate,0,durée introuvable
Bel'Veth,W,airborne,0.75,,multi,skillshot,base,0,
Bel'Veth,W,slow,1.75,50.0,multi,skillshot,base,0,"durée depuis leveling « Slow Duration », moyenne retenue"
Blitzcrank,E,airborne,1.0,,mono,point_click,base,0,
Blitzcrank,Q,airborne,0.5,,mono,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier
Blitzcrank,Q,stun,0.65,,mono,skillshot,base,0,
Blitzcrank,R,silence,0.5,,multi,point_click,ultimate,0,
Blitzcrank,W,slow,1.5,30.0,mono,point_click,base,0,
Brand,Q,stun,1.75,,mono,skillshot,base,0,
Brand,R,slow,0.25,45.0,multi,point_click,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue"
Braum,P,stun,1.5,,mono,skillshot,base,0,"durée variable ({{pp|changedisplay=true|1.25 to 1.75 for 3|1 to 13|type=his level|label1=level}}), moyenne retenue"
Braum,Q,slow,2.0,70.0,mono,skillshot,base,0,
Braum,R,airborne,0.6,,multi,skillshot,ultimate,0,
Braum,R,slow,,50.0,multi,skillshot,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue"
Briar,E,airborne,0.5,,multi,skillshot,base,1,
Briar,E,slow,0.5,80.0,multi,skillshot,base,0,
Briar,E,stun,1.5,,multi,skillshot,base,0,
Briar,Q,stun,0.85,,mono,point_click,base,0,
Briar,R,fear,1.5,,multi,skillshot,ultimate,0,
Briar,R,slow,,35.0,multi,skillshot,ultimate,0,
Caitlyn,E,slow,1.0,50.0,mono,skillshot,base,0,
Caitlyn,W,root,1.5,,mono,skillshot,base,0,
Camille,E,airborne,0.75,,mono,skillshot,base,1,
Camille,E,stun,0.75,,mono,skillshot,base,0,
Camille,R,airborne,3.25,,multi,point_click,ultimate,1,"durée depuis leveling « Zone Duration », moyenne retenue"
Camille,W,slow,2.0,80.0,multi,skillshot,base,0,
Cassiopeia,R,slow,2.0,40.0,multi,skillshot,ultimate,0,
Cassiopeia,R,stun,,,multi,skillshot,ultimate,0,durée introuvable
Cassiopeia,W,ground,,,multi,skillshot,base,0,durée introuvable
Cassiopeia,W,slow,,60.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Cho'Gath,E,slow,1.5,40.0,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Cho'Gath,Q,airborne,1.0,,multi,skillshot,base,0,
Cho'Gath,Q,slow,1.5,60.0,multi,skillshot,base,0,
Cho'Gath,W,silence,1.8,,multi,skillshot,base,0,"durée depuis leveling « Silence Duration », moyenne retenue"
Darius,E,airborne,1.0,,multi,skillshot,base,1,
Darius,E,slow,,,mono,skillshot,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?"
Darius,W,slow,1.0,90.0,mono,point_click,base,0,
Diana,R,airborne,2.0,,multi,point_click,ultimate,1,
Diana,R,slow,2.0,50.0,multi,point_click,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue"
Dr. Mundo,Q,slow,2.0,40.0,mono,skillshot,base,0,
Draven,E,airborne,2.0,,multi,skillshot,base,1,
Draven,E,slow,2.0,30.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Ekko,Q,slow,1.75,50.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Ekko,W,slow,2.0,40.0,multi,skillshot,base,0,
Ekko,W,stun,2.25,,multi,skillshot,base,0,
Elise,E,stun,2.0,,mono,skillshot,base,0,"durée depuis leveling « Stun Duration », moyenne retenue"
Evelynn,W,charm,1.75,,mono,point_click,base,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Evelynn,W,slow,0.75,45.0,mono,point_click,base,0,
Fiddlesticks,E,silence,1.25,,multi,skillshot,base,0,
Fiddlesticks,E,slow,1.25,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Fiddlesticks,Q,fear,1.6,,mono,point_click,base,0,"durée depuis leveling « Fear Duration », moyenne retenue"
Fiddlesticks,Q,slow,,90.0,mono,point_click,base,0,
Fiora,E,slow,1.0,30.0,mono,point_click,base,0,
Fiora,W,slow,2.0,25.0,multi,skillshot,base,0,
Fiora,W,stun,,,multi,skillshot,base,0,durée introuvable
Fizz,E,slow,2.0,50.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Fizz,R,airborne,2.0,,multi,skillshot,ultimate,1,
Fizz,R,slow,2.0,,multi,skillshot,ultimate,0,%slow introuvable
Galio,E,airborne,0.75,,mono,skillshot,base,0,
Galio,R,airborne,0.75,,multi,point_click,ultimate,1,
Galio,W,slow,,,mono,point_click,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?"
Galio,W,taunt,1.0,,mono,point_click,base,0,"durée variable ({{pp|type=channel time|0.5 to 1.5 for 9|0 to 1.25|formula=0.5+(0.125 per 0.16 seconds channeled).}}), moyenne retenue"
Gangplank,E,slow,2.0,60.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Gangplank,R,slow,0.5,30.0,multi,skillshot,ultimate,0,
Garen,Q,silence,1.5,,mono,point_click,base,0,
Gnar,E,slow,0.5,80.0,mono,skillshot,base,0,
Gnar,E,slow,0.5,80.0,multi,skillshot,base,0,
Gnar,Q,slow,2.0,25.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Gnar,Q,slow,2.0,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Gnar,R,airborne,1.5,,multi,skillshot,ultimate,1,"durée depuis leveling « Disable Duration », moyenne retenue"
Gnar,R,slow,1.5,45.0,multi,skillshot,ultimate,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Gnar,R,stun,1.5,,multi,skillshot,ultimate,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Gnar,W,stun,1.25,,multi,skillshot,base,0,
Gragas,E,airborne,1.0,,multi,skillshot,base,1,
Gragas,E,stun,1.0,,multi,skillshot,base,0,
Gragas,Q,slow,2.0,50.0,multi,skillshot,base,0,"%slow depuis leveling « Minimum Slow », moyenne retenue"
Gragas,R,airborne,0.5,,multi,skillshot,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier
Graves,W,slow,0.5,50.0,multi,skillshot,base,0,
Gwen,R,slow,1.5,45.0,multi,skillshot,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue"
Hecarim,E,airborne,0.5,,mono,point_click,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier
Hecarim,E,stun,0.25,,mono,point_click,base,0,
Hecarim,R,fear,1.125,,multi,skillshot,ultimate,0,"durée variable ({{pp|type=distance traveled|0.75 to 1.5 for 11|0 to 1000}}), moyenne retenue"
Hecarim,R,slow,,49.5,multi,skillshot,ultimate,0,"%slow variable ({{pp|type=distance from '''Hecarim'''|0;0 to 99|0;150 to 300 by 25|formula=Minimum of 0% slow at &le;150 centered range from '''Hecarim''', maximum of 99% at 300 centered range from '''Hecarim''' (linearly interpolated).|key=%}}), moyenne retenue"
Heimerdinger,E,slow,2.0,35.0,multi,skillshot,base,0,
Heimerdinger,E,slow,2.0,35.0,multi,skillshot,base,0,
Heimerdinger,E,stun,1.5,,multi,skillshot,base,0,
Heimerdinger,E,stun,1.5,,multi,skillshot,base,0,
Hwei,E,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier
Hwei,E,slow,,35.0,multi,skillshot,base,0,
Hwei,E,slow,1.25,55.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Hwei,Q,fear,1.25,,mono,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue"
Hwei,Q,slow,1.25,85.4,mono,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue ; %slow variable ({{pp|type=distance from '''Hwei'''|70;78;86;94;99|0;300;600;900;1100|key=%|changedisplay=true|formula=70% + 1% for every 38 units the target is away from Hwei at the time of being hit}}), moyenne retenue"
Hwei,R,slow,0.25,10.0,multi,skillshot,ultimate,0,
Hwei,W,root,1.6,,mono,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue"
Illaoi,E,slow,1.5,80.0,mono,skillshot,base,0,
Irelia,E,stun,0.75,,multi,skillshot,base,0,
Irelia,R,slow,1.5,90.0,multi,skillshot,ultimate,0,
Ivern,E,slow,2.0,50.0,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Ivern,Q,root,1.8,,mono,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue"
Ivern,R,airborne,0.75,,mono,skillshot,ultimate,0,mot-clé airborne introuvable dans la description ; défaut appliqué : knock-up 0.75 s — à vérifier
Ivern,R,stun,,,mono,skillshot,ultimate,0,mot-clé stun introuvable dans la description ; durée introuvable
Janna,Q,airborne,0.875,,multi,skillshot,base,0,"durée variable ({{pp|type=seconds charged|0.5 to 1.25|0 to 1.5 by 0.1}}), moyenne retenue"
Janna,R,airborne,0.5,,multi,point_click,ultimate,1,
Janna,W,slow,2.0,8.0,mono,point_click,base,0,"%slow depuis leveling « Bonus Movement Speed », moyenne retenue"
Jarvan IV,Q,airborne,0.75,,multi,skillshot,base,0,
Jarvan IV,R,airborne,0.15,,multi,point_click,ultimate,1,
Jarvan IV,W,slow,2.0,25.0,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Jax,E,stun,1.0,,multi,point_click,base,0,
Jayce,E,airborne,0.4,,mono,point_click,base,1,
Jayce,E,root,,,mono,point_click,base,0,durée introuvable
Jayce,Q,slow,2.0,47.5,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Jhin,E,slow,2.0,35.0,multi,skillshot,base,0,
Jhin,R,slow,0.5,80.0,multi,skillshot,ultimate,0,
Jhin,W,root,1.75,,multi,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue"
Jinx,E,root,1.5,,multi,skillshot,base,0,
Jinx,W,slow,2.0,60.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
K'Sante,Q,airborne,0.65,,multi,skillshot,base,1,
K'Sante,Q,slow,0.5,80.0,multi,skillshot,base,0,
K'Sante,Q,stun,0.8,,multi,skillshot,base,0,
K'Sante,R,airborne,0.5,,mono,point_click,ultimate,1,
K'Sante,R,root,,,mono,point_click,ultimate,0,durée introuvable
K'Sante,R,stun,0.3,,mono,point_click,ultimate,0,
K'Sante,W,airborne,0.5,,mono,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier
K'Sante,W,stun,,,mono,skillshot,base,0,durée introuvable
Kalista,E,slow,2.0,26.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue"
Kalista,R,airborne,1.0,,multi,skillshot,ultimate,0,
Kalista,R,silence,,,multi,skillshot,ultimate,0,durée introuvable
Karma,Q,slow,1.5,40.0,multi,skillshot,base,0,
